Team,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Clasificación
Indianapolis Colts,53,9,42,0,0,1,1,0,0,0,50/50,30/31,0,0,458,2
Denver Broncos,58,15,40,0,0,2,1,0,0,0,56/56,24/29,2,1,482,2
Green Bay Packers,58,14,38,0,2,3,1,0,0,0,53/55,27/33,1,1,486,2
Dallas Cowboys,56,16,37,0,0,2,1,0,0,0,56/56,25/29,0,0,467,2
New England Patriots,52,13,34,0,1,0,2,2,0,0,51/51,35/37,0,0,468,2
New Orleans Saints,49,16,33,0,0,0,0,0,0,0,46/47,19/22,0,2,401,2
Pittsburgh Steelers,49,10,33,0,1,4,1,0,0,0,45/45,29/32,4,1,436,2
San Diego Chargers,40,6,31,0,0,0,3,0,0,0,40/40,22/26,0,1,348,2
Chicago Bears,40,8,30,1,0,1,0,0,0,0,33/35,16-Dec,5,0,319,2
New York Giants,44,13,30,0,0,0,1,0,0,0,44/44,24/26,0,0,380,2
Atlanta Falcons,42,11,28,0,1,1,1,0,0,0,40/40,29/32,1,0,381,2
Baltimore Ravens,46,16,27,1,0,1,0,0,1,0,42/42,29/34,1,1,409,2
Miami Dolphins,42,12,27,0,0,2,1,0,0,0,41/41,29/37,1,3,388,2
Philadelphia Eagles,54,16,27,2,2,2,2,0,3,0,54/54,32/36,0,0,474,2
Buffalo Bills,34,7,23,1,1,0,1,0,1,0,31/32,34/38,2,1,343,0
Carolina Panthers,36,10,23,0,1,2,0,0,0,0,34/34,29/35,1,0,339,0
Detroit Lions,35,11,22,0,0,1,1,0,0,0,32/32,25/38,1,1,321,0
Houston Texans,40,12,22,0,0,4,1,0,1,0,40/40,30/35,0,1,372,0
Oakland Raiders,28,4,22,0,0,0,1,0,1,0,28/28,19/22,0,0,253,0
Arizona Cardinals,32,6,21,0,1,3,1,0,0,0,27/27,29/33,2,0,310,0
Tampa Bay Buccaneers,31,7,21,0,0,3,0,0,0,0,31/31,20/24,0,0,277,0
Cincinnati Bengals,40,19,20,0,0,1,0,0,0,0,39/39,26/33,1,3,365,1
San Francisco 49ers,33,10,20,0,0,2,1,0,0,0,33/33,25/31,0,0,306,0
Seattle Seahawks,43,20,20,0,0,2,0,0,1,0,41/41,31/37,0,1,394,1
St. Louis Rams,36,11,20,0,2,3,0,0,0,0,34/35,24/30,1,0,324,0
Tennessee Titans,28,6,20,0,0,1,1,0,0,0,27/27,19/22,0,1,254,0
Kansas City Chiefs,40,18,18,1,1,1,1,0,0,0,38/38,25/30,0,0,353,1
Washington Redskins,33,15,18,0,0,0,0,0,0,0,31/32,24/27,0,0,301,1
Minnesota Vikings,35,12,17,0,0,2,2,0,2,0,29/29,26/35,4,0,325,0
New York Jets,27,11,16,0,0,0,0,0,0,0,23/23,32/39,0,1,283,0
Jacksonville Jaguars,27,9,15,0,0,1,2,0,0,0,23/23,20/26,1,1,249,0
Cleveland Browns,32,17,12,0,0,2,1,0,0,0,30/30,25/32,0,1,299,1
Arizona Cardinals,38,18,20,0,0,0,0,0,0,0,34/35,31/35,3,0,361,1
Atlanta Falcons,42,10,29,0,1,1,1,0,0,0,29/31,32/40,2,0,381,2
Baltimore Ravens,64,21,37,0,0,2,4,0,0,0,57/59,28/29,2,1,531,2
Buffalo Bills,35,13,21,1,0,0,0,0,0,0,30/32,22/28,3,1,314,0
Carolina Panthers,38,20,17,0,0,0,1,0,0,0,31/35,25/32,1,2,340,1
Chicago Bears,30,8,20,1,0,1,0,0,0,0,27/29,23/28,1,1,280,0
Cincinnati Bengals,28,9,18,1,0,0,0,0,0,0,24/25,27/31,2,1,279,0
Cleveland Browns,38,15,22,0,0,1,0,0,0,0,30/35,25/29,1,0,335,1
Dallas Cowboys,49,18,30,0,0,0,1,0,0,0,46/46,30/40,2,0,434,2
Denver Broncos,28,11,16,0,0,0,1,0,0,0,25/26,29/34,1,0,282,0
Detroit Lions,38,7,28,1,1,0,1,0,0,0,35/36,26/31,0,0,341,0
Green Bay Packers,44,18,26,0,0,0,0,0,0,0,40/41,22/24,3,0,376,1
Houston Texans,46,17,27,0,0,2,0,0,0,0,40/45,20/25,1,0,378,1
Indianapolis Colts,42,17,22,0,2,1,0,0,0,0,33/39,22/31,2,2,361,1
Jacksonville Jaguars,29,3,24,0,0,1,1,0,0,0,19/20,33/34,4,0,300,0
Kansas City Chiefs,50,16,30,1,0,1,2,0,0,0,45/48,34/38,1,0,451,2
Los Angeles Chargers,37,12,24,0,1,0,0,0,0,0,35/35,26/34,1,0,337,0
Los Angeles Rams,46,20,22,0,0,2,2,0,0,0,42/42,24/33,1,1,394,1
Miami Dolphins,34,10,22,1,0,1,0,0,0,0,29/30,23/30,1,1,306,0
Minnesota Vikings,47,19,26,0,0,1,1,0,0,0,40/44,27/29,1,1,407,1
New England Patriots,49,17,25,0,0,3,2,0,2,0,39/45,27/34,2,1,420,1
New Orleans Saints,52,12,36,0,1,2,1,0,0,0,48/49,32/36,0,1,458,2
New York Giants,44,11,30,0,0,1,1,0,1,0,35/39,17-Dec,2,1,341,2
New York Jets,31,6,19,0,0,3,2,0,1,0,23/27,19/28,3,2,276,0
Oakland Raiders,37,13,22,0,0,2,0,0,0,0,34/36,19/26,0,0,313,0
Philadelphia Eagles,46,16,27,0,0,1,2,0,0,0,35/37,22/26,4,0,385,1
Pittsburgh Steelers,29,7,18,0,1,1,2,0,0,0,28/28,29/31,0,0,289,0
San Francisco 49ers,56,23,28,0,0,3,2,0,0,0,49/50,30/39,2,0,479,1
Seattle Seahawks,49,15,31,0,0,2,1,0,0,0,40/44,23/28,1,0,405,2
Tampa Bay Buccaneers,54,15,33,0,0,2,4,0,0,0,43/48,27/35,5,0,458,2
Tennessee Titans,54,21,29,0,0,1,2,1,0,0,50/52,18-Aug,1,1,402,1
Washington Redskins,28,9,18,1,0,0,0,0,0,0,21/22,25/30,1,0,266,0
